Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1800,,,,,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,,,,,,,,
1830,,,,,,,,,,,,,,,,,,,,,,,,,
1831,,,,,,,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,,,,,,,
1850,,,,,,,,,3,,,,,,,,,,,,,,2,,
1851,,,,,,,,,3,,,,,,,,,,,,,,3,,
1852,,,,,,,,,3,,,,,,,,,,,,,,3,,
1853,,,,,,,,,3,,,,,,,,,,,,,,3,,
1854,,,,,,,,,3,,,,,,,,,,,,,,3,,
1855,,,,,,,,,3,,,,,,,,,,,,,,3,,
1856,,,,,,,,,3,,,,,,,,,,,,,,3,,
1857,,,,,,,,,3,,,,,,,,,,,,,,3,,
1858,,,,,,,,,3,,,,,,,,,,,,,,3,,
1859,,,,,,,,,3,,,,,,,,,,,,,,3,,
1860,,,,,,,,,3,,,,,,,,,,,,,,3,,
1861,,,,,,,,,3,,,,,,,,,,,,,,3,,
1862,,,,,,,,,3,,,,,,,,,,,,,,3,,
1863,,,,,,,,,3,,,,,,,,,,,,,,3,,
1864,,,,,,,,,3,,,,,,,,,,,,,,3,,
1865,,,,,,,,,3,,,,,,,,,,,,,,3,,
1866,,,,,,,,,3,,,,,,,,,,,,,,3,,
1867,,,,,,,,,3,,,,,,,,,,,,,,3,,
1868,,,,,,,,,3,,,,,,,,,,,,,,3,,
1869,,,,,,,,,3,,,,,,,,,,,,,,3,,
1870,,,2,3,3,1,4,2,3,2,2,5,6,1,2,1,,4,,,,2,4,,
1871,,,2,3,4,1,4,2,3,2,3,5,6,1,2,1,,4,,,,2,4,,
1872,,,3,3,3,1,4,2,3,2,3,5,5,1,2,1,,4,,,,2,4,,
1873,,,3,3,3,1,4,2,4,2,3,5,6,1,2,1,,4,,,,2,4,,
1874,,,3,3,4,1,4,2,3,2,3,5,6,1,2,1,,4,,,,2,4,,
1875,,,3,3,4,1,4,2,4,2,3,5,6,1,2,1,,5,3,,,2,4,,
1876,,,3,3,4,1,4,3,4,2,3,5,6,1,2,1,,5,3,,,2,4,,
1877,,,3,3,4,1,4,2,4,2,3,5,5,1,2,1,,5,3,,,2,4,,
1878,,,3,3,4,1,4,3,4,2,3,5,6,1,2,1,,5,3,,,2,4,,
1879,,,3,3,4,1,4,3,4,2,3,5,6,1,2,1,,4,3,,,2,4,,
1880,,,3,3,4,1,4,3,4,2,3,5,6,1,2,1,,5,3,,,2,4,,
1881,,,3,4,4,2,4,3,4,2,3,5,5,2,2,1,,5,3,,,2,4,,
1882,,,3,4,4,2,4,3,4,2,3,5,6,2,2,1,,5,3,,,2,5,,
1883,,,3,4,4,2,4,3,4,2,3,5,6,2,2,1,,5,3,,,2,5,,
1884,,,3,4,5,2,4,3,4,2,3,6,6,2,2,1,,5,3,,,2,4,,
1885,,,3,4,5,2,5,3,4,2,3,6,7,2,2,1,,5,3,,,2,4,,
1886,,,3,4,5,2,5,3,4,2,3,6,6,2,2,1,,6,3,,,2,4,,
1887,,,3,4,5,2,5,3,4,2,3,6,7,2,2,1,,6,3,,,3,4,,
1888,,,3,4,6,2,5,3,4,2,3,6,7,2,2,1,,6,3,,,3,4,,
1889,,,3,4,6,2,5,3,4,2,3,6,6,2,2,1,,6,4,,,3,5,,
1890,11,4,3,4,6,2,5,4,4,2,3,6,6,2,2,1,3,5,4,5,2,3,5,,3
1891,11,4,3,4,6,2,5,4,4,2,3,6,5,2,2,1,3,5,4,5,2,3,5,,3
1892,9,5,3,4,6,2,5,4,4,2,3,6,5,2,2,1,3,5,4,5,2,3,5,,3
1893,9,5,3,4,6,2,5,4,4,2,3,6,5,2,2,1,3,5,4,5,2,3,5,,3
1894,8,5,3,4,6,2,5,4,4,2,3,6,5,2,2,1,3,5,4,5,2,3,5,,3
1895,8,5,3,4,6,2,5,4,4,2,3,6,5,2,2,1,3,6,4,5,2,3,5,,3
1896,8,5,4,4,6,2,6,4,4,2,3,6,6,2,2,1,3,5,4,5,2,3,5,,3
1897,7,5,4,4,7,2,6,4,4,2,3,6,5,2,2,1,3,6,4,6,2,3,5,,3
1898,8,5,4,4,7,2,6,4,4,2,3,7,5,2,2,1,3,6,4,6,2,3,5,,4
1899,8,6,4,4,7,2,6,4,4,2,3,7,5,2,2,1,3,6,4,6,2,4,6,,4
1900,8,6,4,5,7,2,6,5,4,2,3,7,5,2,2,1,3,6,4,6,2,4,6,,4
1901,7,6,4,5,7,2,6,5,5,2,3,7,4,2,2,1,3,6,4,6,2,4,6,,4
1902,7,6,4,5,7,2,6,5,5,2,3,7,6,2,2,1,3,6,4,6,2,4,6,,4
1903,8,6,4,5,7,2,6,5,5,3,3,7,5,2,2,1,4,6,4,6,2,4,6,,4
1904,8,6,4,5,7,2,6,5,5,3,3,7,6,2,2,1,4,6,4,7,2,4,6,,4
1905,9,6,4,5,7,2,6,5,4,3,3,7,6,2,2,1,4,6,4,7,2,4,6,,4
1906,9,6,4,6,8,3,6,5,5,3,3,7,6,2,3,1,4,6,4,7,2,4,6,,4
1907,9,7,4,6,8,3,7,5,5,3,4,7,6,2,3,2,4,6,5,8,2,4,6,,4
1908,9,6,4,5,8,3,7,5,5,3,4,7,6,2,3,2,4,6,5,8,2,4,6,,4
1909,10,6,4,6,8,3,7,6,5,3,4,7,6,3,3,2,4,6,5,7,2,4,6,,4
1910,10,6,4,6,8,3,7,6,5,3,4,7,6,3,3,2,5,7,5,7,2,5,6,,4
1911,10,7,5,6,8,3,7,6,5,3,4,7,7,3,3,2,5,7,5,8,3,5,6,,5
1912,10,7,5,7,8,3,7,6,5,3,4,7,7,3,3,2,5,7,5,8,3,5,6,,5
1913,10,7,5,7,8,3,7,6,5,3,4,7,4,3,3,2,5,7,5,8,3,5,7,,5
1914,10,7,4,7,8,3,7,6,5,3,4,7,5,3,3,2,5,7,6,9,3,5,6,,4
1915,10,7,3,7,8,3,6,6,5,3,3,8,4,3,3,2,5,7,6,9,3,5,7,,4
1916,10,6,4,8,8,3,7,6,5,3,3,8,3,3,3,2,5,8,6,9,3,5,8,,4
1917,10,5,3,8,8,3,6,6,5,3,3,8,3,3,3,2,5,8,6,9,3,5,8,,4
1918,10,5,3,8,8,4,6,5,5,2,3,8,5,3,3,2,5,7,5,8,3,5,9,,4
1919,10,5,4,7,8,3,6,6,5,3,3,7,5,3,3,2,6,9,6,8,3,5,10,,4
1920,10,5,7,7,9,3,7,7,6,3,3,7,5,3,3,2,6,10,6,8,3,6,9,,5
1921,10,6,7,7,9,3,7,7,6,3,3,8,7,3,3,2,6,10,6,8,3,7,10,,5
1922,11,6,8,7,10,3,7,7,6,4,4,8,7,5,4,2,6,11,7,8,3,7,9,,5
1923,11,6,8,8,10,4,7,8,6,4,5,8,7,5,4,2,6,11,7,8,3,7,9,,5
1924,11,7,8,8,11,4,7,8,6,4,5,9,7,5,4,2,6,12,7,8,3,7,11,,6
1925,11,8,8,8,12,4,7,7,7,4,6,9,8,5,4,3,6,12,8,8,3,7,10,,6
1926,11,8,8,9,12,4,8,8,7,4,6,9,8,6,4,3,7,13,8,8,3,7,11,,6
1927,11,8,8,9,13,4,8,8,7,4,6,9,8,6,4,3,7,13,8,8,4,7,11,,6
1928,11,8,9,10,13,5,8,8,7,5,7,9,8,6,4,3,7,13,8,8,4,7,11,,6
1929,11,8,9,9,14,5,8,8,7,5,7,9,8,6,5,3,6,13,9,8,4,7,11,,7
1930,10,8,9,9,14,5,8,9,7,5,7,9,8,6,4,3,6,13,10,8,4,7,11,,7
1931,11,8,9,8,14,4,8,9,7,6,7,9,7,6,5,3,6,13,9,8,4,8,11,,6
1932,12,7,9,7,14,3,8,8,7,5,7,9,8,7,5,3,5,13,10,7,4,7,12,,7
1933,12,7,9,6,16,4,8,9,7,5,7,10,8,6,5,3,6,13,10,7,4,8,11,,6
1934,12,9,9,7,15,4,8,9,7,6,7,10,8,6,5,3,6,13,10,8,5,8,12,,6
1935,12,8,10,7,15,5,8,9,7,6,7,10,8,6,5,3,7,13,10,8,4,8,12,,7
1936,12,8,10,8,15,5,8,9,5,6,7,10,8,7,4,3,7,14,11,9,4,8,13,,7
1937,13,7,10,8,16,5,9,9,5,6,8,10,9,7,5,3,7,14,11,11,5,8,13,,7
1938,13,8,10,9,16,5,9,10,5,6,8,10,8,7,5,4,7,13,11,12,5,9,15,,7
1939,13,8,10,9,16,5,10,10,5,6,8,10,8,7,5,4,8,14,11,12,5,9,15,,7
1940,13,8,8,10,15,5,10,9,6,5,6,9,7,7,5,4,8,11,10,13,4,9,15,,7
1941,14,9,7,11,15,5,11,8,6,6,6,9,6,7,5,4,8,11,10,13,5,9,16,,8
1942,16,9,7,13,15,6,11,8,6,6,6,9,5,7,5,4,9,9,10,14,4,9,17,,8
1943,17,9,5,12,15,6,12,9,6,6,6,9,4,7,4,5,9,9,10,16,5,10,17,,8
1944,16,8,6,13,15,6,12,10,6,6,4,9,3,7,4,5,9,6,10,17,5,10,19,,7
1945,15,4,6,13,19,6,5,9,6,6,5,10,3,6,3,2,9,6,11,17,5,10,20,,4
1946,14,4,10,14,20,7,5,11,6,6,6,11,4,6,4,2,10,11,12,17,5,11,18,,5
1947,14,5,10,15,23,6,7,11,6,6,6,12,5,6,5,3,10,12,13,16,5,12,18,,6
1948,15,7,11,15,23,7,7,12,6,6,7,12,5,6,6,3,10,13,14,16,5,12,19,,7
1949,15,8,12,15,23,7,8,12,6,7,8,12,5,7,6,3,10,14,14,15,5,12,19,,7
1950,16,9,12,16,24,6,8,13,6,7,8,12,6,7,7,3,11,15,14,15,5,13,21,,7
1951,16,10,13,16,25,6,9,13,6,8,9,12,6,7,8,4,12,15,15,18,5,13,21,,8
1952,16,10,13,17,25,6,9,14,7,8,9,12,6,7,8,4,12,15,15,16,5,13,22,,8
1953,17,10,13,18,25,7,10,14,7,8,9,13,6,8,9,4,12,17,16,16,6,14,22,,9
1954,17,11,14,18,27,7,10,15,7,9,10,13,6,8,9,4,13,17,17,16,6,15,23,,9
1955,18,12,15,20,28,7,11,15,8,9,10,14,6,8,9,5,14,19,17,17,6,15,24,,10
1956,19,12,15,21,29,7,12,15,8,9,11,14,6,9,10,5,15,19,18,18,7,16,23,,10
1957,19,13,15,21,30,7,13,17,8,9,12,14,7,9,10,5,16,20,19,18,7,16,24,,11
1958,20,13,15,21,29,8,13,17,9,9,12,15,7,9,11,5,16,20,19,19,7,17,25,,11
1959,21,13,16,22,31,8,14,18,9,10,13,15,7,9,12,5,17,21,20,19,7,17,26,,12
1960,21,14,16,22,33,8,15,18,9,11,14,16,7,9,12,6,18,22,21,20,8,18,26,,13
1961,22,15,17,23,34,8,16,19,10,11,14,16,8,10,13,7,18,22,23,21,8,19,27,,13
1962,22,15,18,24,34,8,17,20,11,12,15,17,9,11,15,7,18,23,23,21,9,19,28,,14
1963,23,16,18,25,35,9,18,19,12,12,16,18,10,11,16,8,19,23,24,21,10,20,28,,15
1964,24,17,19,26,36,9,19,21,14,13,17,18,11,12,17,9,21,24,25,22,10,22,29,,16
1965,24,18,20,26,38,9,20,21,14,13,18,19,12,12,18,9,22,25,27,23,11,23,30,,17
1966,25,20,20,27,39,10,21,21,15,14,18,19,13,13,20,10,22,26,28,23,12,23,32,,18
1967,25,21,21,27,40,10,22,23,16,14,20,20,14,13,21,11,23,27,30,23,13,25,32,,19
1968,26,22,22,28,41,10,23,24,17,15,21,22,15,14,22,12,24,28,31,24,14,26,33,,20
1969,27,24,23,29,42,11,24,26,19,17,23,22,17,15,24,13,25,29,33,24,15,27,33,,22
1970,28,26,25,30,44,11,25,26,20,17,24,23,19,16,25,14,26,31,33,24,15,29,34,,23
1971,28,27,26,31,45,11,27,28,20,18,25,25,21,17,27,15,25,32,35,25,16,30,35,,24
1972,29,29,28,32,47,11,28,29,22,20,27,26,23,18,28,16,26,33,37,26,18,31,36,,25
1973,29,29,30,32,48,10,29,31,23,21,28,27,24,19,30,17,27,35,39,27,20,33,37,,26
1974,29,31,31,32,50,10,31,31,25,22,30,27,23,20,31,18,27,38,40,28,19,33,36,,27
1975,30,32,32,33,49,9,32,32,25,23,30,26,24,21,31,19,27,39,42,27,17,34,37,,28
1976,31,33,34,35,50,10,33,33,26,23,31,28,25,22,33,19,27,41,44,27,19,34,38,,29
1977,30,36,34,36,51,10,34,35,27,24,32,29,26,23,34,20,26,42,46,25,20,34,39,,30
1978,32,35,36,36,51,11,36,36,28,25,34,30,27,25,35,21,27,43,48,26,20,35,39,,31
1979,32,36,37,36,53,12,37,37,29,26,35,31,28,25,37,21,28,44,50,26,21,37,39,,32
1980,32,38,39,36,54,12,37,37,31,27,36,31,28,26,38,22,28,45,51,26,22,37,39,,33
1981,33,38,40,36,54,12,37,38,32,27,36,33,26,28,38,23,30,45,52,28,22,37,40,,34
1982,34,39,41,37,54,11,38,39,33,28,39,34,26,28,38,23,29,45,52,28,23,37,40,,34
1983,35,40,41,37,54,10,39,40,35,29,40,36,26,29,38,24,27,47,54,28,22,38,41,,35
1984,35,41,42,38,56,11,40,41,37,30,41,35,27,31,40,25,27,48,57,29,22,39,42,,36
1985,35,42,42,39,57,10,41,42,39,31,42,36,27,32,41,26,27,49,59,28,23,39,43,,37
1986,35,43,43,38,57,10,42,43,39,32,43,37,27,31,41,27,25,50,60,28,24,40,44,,38
1987,36,43,44,39,57,10,42,44,40,33,44,38,27,33,42,28,25,50,61,28,24,41,44,,39
1988,36,44,46,39,57,11,43,45,40,34,45,38,28,34,43,30,24,51,61,29,25,41,44,,40
1989,36,45,47,39,59,11,45,46,41,36,47,38,28,36,45,31,24,52,63,31,26,41,45,,41
1990,37,46,48,39,59,11,46,47,41,37,48,39,28,38,45,32,24,53,65,32,27,41,46,,42
1991,37,47,49,39,58,12,48,48,41,37,48,39,29,40,45,33,21,54,68,31,28,42,46,,43
1992,39,48,51,40,58,13,49,49,42,38,49,41,29,42,46,34,21,54,70,33,29,43,48,,44
1993,39,48,52,41,59,13,50,50,43,40,50,43,28,43,47,35,21,54,72,33,29,44,48,,44
1994,39,50,54,42,59,14,52,53,45,42,51,44,28,44,49,35,20,55,75,33,29,45,48,,45
1995,40,50,54,42,60,15,52,54,45,43,52,45,29,46,50,36,19,55,77,34,30,46,48,,46
1996,41,50,55,42,61,16,53,55,46,44,53,45,30,48,50,37,19,55,80,34,30,46,50,,47
1997,43,51,56,43,63,18,55,56,46,45,54,46,31,51,51,38,19,56,82,35,31,48,50,,48
1998,44,53,57,44,64,18,55,56,45,47,55,47,31,51,51,38,20,57,82,34,31,50,52,,48
1999,44,54,58,45,64,18,56,56,45,48,56,48,32,53,52,39,20,59,83,35,32,50,53,,49
2000,45,55,58,46,66,19,57,58,45,50,57,50,33,56,53,40,21,60,86,36,32,52,54,,50
2001,46,56,59,47,67,19,59,57,45,51,58,51,35,58,53,41,21,61,89,37,33,53,56,,51
2002,47,57,59,48,68,19,59,58,46,51,60,52,35,61,53,42,20,62,91,37,33,54,57,,51
2003,48,57,60,48,67,20,60,59,46,53,60,53,37,63,53,42,21,62,94,38,33,57,59,,51
2004,48,58,61,48,68,21,60,61,46,54,61,54,38,66,53,43,21,63,96,38,34,59,61,,52
2005,48,60,62,49,69,22,61,62,46,55,62,54,37,66,53,44,19,65,97,38,34,60,62,,53
2006,49,61,63,50,71,23,62,62,46,57,63,55,39,68,53,44,20,66,96,38,35,62,62,,53
2007,49,63,64,50,72,23,63,63,47,58,63,56,40,69,53,44,20,66,95,40,35,62,63,,54
2008,51,63,63,50,73,24,63,62,47,58,62,56,39,68,53,44,20,67,92,38,36,61,64,,54
2009,50,62,63,50,72,24,61,61,48,55,62,55,38,73,52,44,19,65,92,40,35,60,66,,53
2010,51,63,64,51,74,23,62,63,49,57,63,56,38,77,53,45,19,67,92,40,37,62,68,,54
2011,52,64,64,52,73,24,64,64,50,58,63,56,35,80,53,45,20,67,92,41,37,63,68,,55
2012,53,64,64,52,73,25,64,65,51,57,63,56,33,80,53,46,20,67,92,42,37,62,68,,56
2013,54,65,64,52,75,25,65,65,52,57,64,56,32,78,53,47,20,68,93,41,38,63,68,,56
2014,54,65,65,54,76,25,65,66,52,57,65,56,32,82,53,47,20,68,94,41,38,64,69,,57
2015,55,66,66,54,75,26,66,67,52,58,65,57,33,99,53,48,21,69,95,42,38,65,69,,57
2016,55,66,66,54,76,26,66,68,52,59,66,57,32,96,53,48,21,69,96,42,38,65,69,,57
2017,56,67,66,55,77,26,68,69,53,61,67,58,32,101,54,48,21,69,98,42,38,66,70,,58
2018,56,67,66,55,78,26,68,71,53,60,67,58,31,105,54,49,21,69,97,43,38,66,71,,58
2019,57,67,67,55,79,26,68,71,53,60,68,59,32,108,54,49,20,68,96,43,38,67,72,,59
2020,58,69,69,60,80,30,69,72,53,60,68,59,33,127,56,49,20,68,97,43,39,68,74,,60
2021,58,69,68,56,81,30,70,74,52,60,67,58,32,137,55,49,20,69,99,45,39,70,75,,60
2022,58,70,69,56,82,28,70,73,53,61,66,59,32,139,55,50,19,70,98,44,41,71,74,,60